categoryid,parentid,category_depth
1016,213,3
809,169,3
570,9,3
1691,885,2
536,1691,3
231,,0
542,378,1
1146,542,2
1140,542,2
1479,1537,3
83,1621,2
688,893,3
257,312,2
1640,622,3
963,1281,3
412,1110,2
948,1110,2
934,1110,2
148,1110,2
12,1110,2
1459,1604,3
1039,1604,3
877,1604,3
28,1604,3
912,945,2
600,768,2
177,768,2
344,768,2
419,229,4
192,1181,3
1099,711,3
1212,711,3
527,73,3
1653,393,3
7,250,1
1252,250,1
874,1420,2
1122,1420,2
88,1101,3
365,1424,2
1587,1215,3
91,1215,3
1436,313,2
1185,583,2
1517,71,2
1159,71,2
1689,71,2
582,590,3
1309,590,3
632,590,3
259,71,2
454,71,2
1334,1550,3
237,1550,3
890,1550,3
915,1550,3
63,1550,3
898,763,2
840,488,3
1166,763,2
1194,763,2
232,763,2
824,232,3
1683,232,3
855,1591,2
800,383,3
1609,383,3
949,1591,2
1115,949,3
817,949,3
981,949,3
298,949,3
397,8,3
1230,8,3
681,8,3
1369,880,3
935,322,3
965,666,3
1242,1291,3
186,865,2
595,186,3
31,336,3
1381,336,3
1000,92,2
210,585,4
178,399,3
309,178,4
483,178,4
1682,399,3
701,1682,4
1551,1682,4
667,777,3
932,777,3
122,520,4
748,781,4
201,1453,3
614,571,3
757,252,3
717,866,2
428,1669,2
1217,630,2
556,1370,3
1379,609,3
1321,1618,3
1380,1618,3
1268,378,1
102,351,2
21,351,2
1570,351,2
1633,351,2
119,351,2
1457,1486,2
1414,854,2
128,945,2
303,945,2
909,1229,2
534,1009,2
1427,1259,2
1444,1490,1
740,1444,2
732,593,2
1547,732,3
458,732,3
136,732,3
601,732,3
418,1394,1
697,418,2
108,1687,3
1512,1687,3
32,1687,3
294,1687,3
68,1687,3
443,1687,3
906,1687,3
922,1687,3
79,1687,3
1044,1687,3
733,1687,3
853,1687,3
403,1687,3
1264,1687,3
1262,1658,3
41,1658,3
1612,216,3
698,1251,3
988,727,2
810,378,1
1172,810,2
606,810,2
967,378,1
604,894,2
1341,480,3
480,1299,2
1535,727,2
1513,1416,2
776,727,2
1537,727,2
81,1537,3
144,561,2
463,250,1
1621,395,1
1257,395,1
893,1615,2
75,893,3
751,893,3
1183,893,3
36,893,3
408,654,4
498,506,2
1129,900,3
578,1278,2
558,92,2
637,92,2
437,92,2
1610,92,2
607,312,2
1251,312,2
1087,622,3
718,622,3
1080,1281,3
297,312,2
540,140,1
1110,653,1
115,1110,2
1330,1110,2
94,1330,3
17,1604,3
962,945,2
1596,653,1
907,768,2
1562,351,2
351,653,1
782,1562,3
1447,351,2
1124,351,2
1270,351,2
1026,351,2
199,351,2
9,351,2
1295,9,3
1263,1637,3
386,1095,3
805,384,2
1173,805,3
792,805,3
1347,1458,3
445,1308,3
725,1519,2
589,1308,3
84,1308,3
1048,1308,3
1329,1519,2
1417,1329,3
1549,1329,3
149,1519,2
497,149,3
46,1519,2
597,1329,3
1239,351,2
610,1239,3
862,1667,3
1393,1383,3
469,1383,3
191,1383,3
183,540,2
16,585,4
860,1515,3
1368,540,2
1659,825,4
1178,540,2
1228,121,3
325,540,2
1645,1534,3
579,1371,5
1511,409,2
1486,140,1
131,1486,2
539,131,3
315,131,3
369,1486,2
802,369,3
1324,1181,3
856,1181,3
1314,1181,3
1499,351,2
895,1499,3
711,1486,2
1378,322,3
364,711,3
886,1486,2
1553,886,3
156,886,3
1023,886,3
1311,140,1
799,920,2
984,827,3
1616,827,3
1487,920,2
777,920,2
643,346,3
1265,1136,3
897,61,2
1098,897,3
1540,897,3
531,1058,3
845,1430,3
396,164,2
317,314,3
57,314,3
392,1202,2
293,1532,1
65,293,2
1445,293,2
986,1532,1
1171,938,3
330,986,2
562,986,2
1076,986,2
517,206,3
58,766,3
533,1299,2
416,1299,2
1492,107,2
450,1492,3
1409,1174,3
1174,107,2
360,1174,3
1038,1174,3
89,937,4
86,937,4
1266,293,2
801,766,3
1083,594,3
1376,480,3
290,207,2
333,1497,2
806,1497,2
56,1497,2
543,250,1
1116,1497,2
1188,1497,2
658,506,2
308,658,3
514,188,3
1130,1323,3
1323,1200,2
1396,1200,2
588,1396,3
1399,1396,3
1031,1200,2
516,1031,3
109,1031,3
746,1200,2
90,1156,3
1306,947,4
821,1012,3
1356,1306,5
1012,500,2
1576,1012,3
1395,1012,3
1068,947,4
914,226,3
1431,1066,3
457,250,1
678,250,1
1674,1420,2
538,1420,2
1365,538,3
1036,1420,2
708,1101,3
1424,679,1
421,1424,2
1139,679,1
310,1139,2
1143,1424,2
511,724,2
553,1424,2
1008,1424,2
992,1008,3
245,1424,2
1231,901,2
368,901,2
1454,1596,2
844,1458,3
815,1027,2
1113,1145,3
324,1145,3
1043,226,3
50,312,2
127,312,2
1253,127,3
1047,127,3
652,127,3
1456,127,3
884,127,3
484,127,3
1300,127,3
352,859,1
590,71,2
77,590,3
1453,71,2
1193,1453,3
526,1453,3
359,1579,1
1550,359,2
1675,1550,3
475,1550,3
763,1579,1
488,763,2
726,488,3
608,763,2
1468,1136,3
1591,1579,1
910,1591,2
925,1591,2
918,383,3
1460,1591,2
989,1579,1
843,880,3
1029,1181,3
1559,989,2
1094,131,3
1524,1559,3
1232,1559,3
322,1486,2
234,322,3
649,696,3
666,989,2
211,666,3
415,666,3
468,666,3
1211,989,2
78,1211,3
865,1579,1
194,865,2
863,194,3
1175,865,2
1536,1175,3
729,1175,3
1518,865,2
842,1518,3
436,1518,3
829,1518,3
1651,1579,1
1223,1651,2
1283,1651,2
1590,336,3
1632,885,2
1478,1632,3
1433,312,2
2,312,2
1169,92,2
1681,568,3
1514,920,2
1630,663,2
399,663,2
693,1630,3
453,1630,3
1075,399,3
1025,1075,4
521,654,4
705,1487,3
775,763,2
998,653,1
1485,250,1
22,1550,3
1666,1684,2
818,852,4
1606,1684,2
683,1606,3
520,1606,3
873,520,4
676,479,5
875,479,5
876,580,3
1073,580,3
1179,580,3
1207,580,3
942,125,4
1220,125,4
1273,125,4
426,872,2
268,138,4
1575,138,4
944,950,4
569,426,3
1625,1141,3
1141,55,2
969,1141,3
1236,1141,3
406,872,2
1107,1600,1
1041,1313,3
394,1041,4
1413,1313,3
1033,571,3
571,1107,2
465,571,3
804,187,4
187,1313,3
997,187,4
1053,187,4
1392,1041,4
1243,1107,2
684,1041,4
216,1107,2
783,216,3
1088,287,2
425,55,2
23,640,3
1677,896,3
1111,835,3
1322,252,3
252,872,2
1091,573,4
493,1331,4
1018,1331,4
789,14,3
1573,14,3
1117,14,3
1184,14,3
892,14,3
1635,866,2
866,803,1
93,866,2
888,866,2
964,1326,2
1326,803,1
1614,1326,2
51,955,3
1086,250,1
213,1299,2
772,213,3
692,213,3
1669,250,1
1440,1669,2
779,1669,2
814,1669,2
1560,293,2
1662,630,2
630,679,1
752,630,2
1385,1202,2
797,213,3
764,1370,3
1370,1107,2
836,1370,3
448,609,3
609,1107,2
787,609,3
1451,609,3
505,334,4
379,334,4
135,1618,3
544,1168,3
1168,736,2
723,995,2
1631,657,3
169,1257,2
1004,169,3
1498,580,3
504,378,1
327,92,2
1234,92,2
1340,101,3
979,1383,3
774,620,4
634,226,3
677,226,3
438,312,2
661,127,3
730,1482,1
228,1482,1
593,1482,1
1472,605,2
0,605,2
927,605,2
1578,1249,2
1249,1482,1
972,1249,2
1555,1249,2
1221,1426,2
1426,1482,1
1528,1426,2
292,1426,2
987,1426,2
242,1531,2
911,1531,2
703,1531,2
1663,1398,2
1398,1482,1
277,1398,2
1480,1398,2
1,854,2
854,1482,1
1286,854,2
320,854,2
225,593,2
1247,593,2
1429,593,2
545,143,2
263,143,2
366,143,2
921,143,2
270,143,2
936,143,2
1037,402,3
1165,402,3
879,1482,1
1256,879,2
1320,879,2
956,879,2
1697,623,3
1237,623,3
529,623,3
220,795,2
970,275,3
710,605,2
398,1323,3
1695,250,1
1246,945,2
1001,945,2
1052,945,2
1404,593,2
451,945,2
1567,1531,2
1082,866,2
163,945,2
153,1331,4
791,,0
587,791,1
769,587,2
1680,587,2
1255,587,2
1362,587,2
1161,587,2
1423,791,1
1250,1423,2
1405,1423,2
759,1423,2
155,1423,2
1070,1423,2
227,602,2
1133,602,2
1533,602,2
1229,791,1
870,1229,2
1019,1229,2
461,1229,2
765,1229,2
433,1229,2
1410,1495,2
1358,1009,2
198,1009,2
501,1009,2
1556,1009,2
741,362,2
508,362,2
512,362,2
1432,362,2
1069,362,2
1577,362,2
598,362,2
492,362,2
952,362,2
350,362,2
111,362,2
518,362,2
1061,1259,2
1259,431,1
389,1259,2
166,1259,2
996,1259,2
1271,1259,2
472,1259,2
1408,1259,2
882,1259,2
1210,1259,2
311,1259,2
179,1259,2
1245,1259,2
1525,1490,1
1448,145,2
1132,381,2
902,866,2
481,1009,2
1510,1009,2
354,1009,2
635,1229,2
485,1335,2
1522,1009,2
264,1009,2
1287,1009,2
376,48,3
694,561,2
452,561,2
1687,1335,2
749,1687,3
278,362,2
1552,1259,2
1471,339,3
1074,339,3
184,1009,2
284,1009,2
728,1009,2
674,362,2
150,1259,2
537,229,4
1316,1306,5
258,1139,2
420,250,1
672,1120,2
1199,1215,3
1520,245,3
1332,1490,1
826,346,3
442,1632,3
1056,1579,1
1010,755,1
1203,755,1
1439,755,1
1694,1621,2
387,1621,2
999,1621,2
1233,1257,2
337,653,1
771,1251,3
722,1110,2
43,945,2
568,384,2
142,9,3
626,955,3
1213,955,3
586,1519,2
700,95,3
1011,745,3
1390,121,3
239,1515,3
1015,131,3
1035,920,2
1558,323,3
1434,1136,3
120,897,3
686,594,3
575,1257,2
953,506,2
1032,557,3
1664,1156,3
881,1012,3
901,679,1
1218,203,3
712,1453,3
1196,1181,3
388,880,3
592,989,2
633,568,3
1496,968,2
786,520,4
682,938,3
1628,605,2
1605,1531,2
222,561,2
913,418,2
207,1490,1
584,709,3
625,9,3
1180,1239,3
668,1239,3
1144,1239,3
477,1596,2
916,9,3
1059,1696,2
410,894,2
943,810,2
924,1416,2
1580,441,3
25,1490,1
158,1621,2
241,893,3
372,654,4
837,654,4
1344,713,3
1338,1278,2
319,92,2
849,1281,3
3,1281,3
1670,1458,3
302,1458,3
1464,745,3
196,1667,3
1055,183,3
1258,1386,4
1509,620,4
238,250,1
471,1368,3
739,1181,3
1298,335,3
1208,827,3
331,1487,3
685,908,4
719,908,4
1588,897,3
124,104,3
172,1290,3
249,164,2
53,1202,2
342,500,2
48,500,2
565,500,2
499,986,2
1477,206,3
35,20,3
295,20,3
1282,25,2
247,557,3
530,432,3
282,113,2
846,1012,3
891,1012,3
546,250,1
642,250,1
1623,1066,3
74,250,1
655,1066,3
1120,250,1
1613,250,1
1539,990,3
550,1139,2
202,1008,3
357,1065,3
1042,1065,3
1045,1065,3
1655,727,2
1277,312,2
1355,312,2
1333,127,3
1461,1215,3
1204,1215,3
1359,1215,3
417,1215,3
560,313,2
559,313,2
833,901,2
62,383,3
291,880,3
1526,1621,2
510,908,4
27,557,3
926,852,4
646,1606,3
1279,1606,3
1049,1606,3
1054,520,4
1603,520,4
665,520,4
636,479,5
1503,580,3
549,781,4
1151,781,4
1373,872,2
1040,1516,4
1565,1481,3
883,1481,3
296,55,2
1521,55,2
581,1600,1
233,630,2
1676,1618,3
868,169,3
1147,1027,2
1244,500,2
429,113,2
1114,113,2
572,1066,3
1017,605,2
316,605,2
737,854,2
715,402,3
1530,879,2
1002,879,2
338,275,3
1325,1684,2
1634,143,2
244,1495,2
253,1525,2
173,788,2
1007,485,3
1142,485,3
69,485,3
1508,209,3
1293,1323,3
641,768,2
1497,1490,1
1261,25,2
1592,393,3
1060,25,2
391,250,1
788,1490,1
130,145,2
619,145,2
145,1490,1
1490,,0
343,1290,3
808,1272,3
830,1272,3
182,1308,3
413,149,3
152,1329,3
95,1519,2
1627,827,3
827,920,2
217,908,4
224,1487,3
541,777,3
1197,777,3
279,777,3
349,777,3
346,920,2
1688,61,2
1003,61,2
66,1430,3
1058,61,2
61,140,1
1154,1515,3
620,1515,3
1383,409,2
1371,585,4
1642,121,3
1422,1371,5
159,1028,3
1104,1534,3
1643,1386,4
39,540,2
1103,1368,3
1209,1292,3
370,131,3
1400,335,3
1181,1486,2
185,131,3
617,131,3
223,131,3
374,131,3
1435,131,3
651,369,3
975,369,3
404,369,3
931,1181,3
1639,1181,3
1667,409,2
332,1667,3
1339,1534,3
1598,229,4
1349,121,3
1652,1368,3
34,1368,3
515,1368,3
157,540,2
1543,157,3
1106,1383,3
695,959,4
218,116,3
1337,116,3
221,362,2
1342,362,2
1304,362,2
273,362,2
1419,362,2
271,362,2
301,362,2
362,431,1
991,1259,2
1285,1259,2
976,1009,2
1488,1009,2
447,1009,2
923,1009,2
1489,1009,2
30,1009,2
1009,431,1
431,,0
781,580,3
758,781,4
580,1684,2
1685,339,3
1238,265,3
1494,216,3
958,1041,4
137,1370,3
1024,1370,3
1137,609,3
334,609,3
165,14,3
1415,14,3
14,1684,2
1572,1326,2
479,520,4
1254,520,4
470,520,4
627,520,4
1201,479,5
1108,426,3
535,426,3
427,1313,3
377,714,4
147,714,4
193,950,4
1260,426,3
971,426,3
1102,1401,4
1401,426,3
1090,648,4
367,125,4
1119,125,4
125,1313,3
47,381,2
1545,866,2
487,1141,3
1564,1141,3
1005,657,3
657,736,2
1463,657,3
1275,1618,3
736,1600,1
1418,896,3
1176,835,3
154,640,3
1302,1600,1
55,1600,1
1331,252,3
616,573,4
1303,252,3
523,593,2
162,593,2
1690,593,2
1127,593,2
1607,593,2
446,593,2
1360,593,2
1531,1482,1
1280,605,2
567,605,2
160,605,2
605,1482,1
1078,1249,2
704,1426,2
1650,1426,2
1589,1426,2
671,1426,2
1581,854,2
275,795,2
1351,795,2
795,250,1
1619,1398,2
402,143,2
464,143,2
143,1482,1
816,623,3
623,381,2
1586,381,2
381,1482,1
371,1482,1
356,92,2
1096,92,2
92,653,1
248,1596,2
645,1596,2
1014,1110,2
1604,1110,2
503,1604,3
459,1330,3
73,1202,2
299,73,3
1214,1202,2
1305,1214,3
286,1214,3
1202,653,1
197,768,2
494,768,2
375,768,2
768,653,1
37,945,2
1437,945,2
532,945,2
1665,945,2
1649,945,2
945,653,1
1548,1499,3
599,1499,3
348,1499,3
1584,1562,3
946,351,2
1189,9,3
405,351,2
101,312,2
1241,101,3
847,101,3
1155,101,3
1465,1251,3
1672,1251,3
1281,312,2
622,312,2
