itemid,categoryid,parentid,category_depth
0,209,293,2
1,1114,113,2
2,1305,1214,3
3,1171,938,3
4,1038,1174,3
5,1061,1259,2
6,1091,573,4
7,512,362,2
8,173,788,2
10,1301,1034,2
11,414,206,3
12,1142,485,3
13,273,362,2
14,512,362,2
15,722,1110,2
16,333,1497,2
17,1265,1136,3
18,499,986,2
19,1171,938,3
20,619,145,2
21,1238,265,3
22,1359,1215,3
23,991,1259,2
24,1244,500,2
25,72,620,4
26,1503,580,3
27,769,587,2
28,967,378,1
29,1051,955,3
30,1250,1423,2
31,1338,1278,2
32,1173,805,3
33,1526,1621,2
34,330,986,2
35,1301,1034,2
36,967,378,1
38,65,293,2
39,535,426,3
40,160,605,2
41,1007,485,3
42,84,1308,3
43,1121,1299,2
44,227,602,2
45,1250,1423,2
48,324,1145,3
49,77,590,3
50,279,777,3
51,1441,1566,2
52,512,362,2
53,988,727,2
54,472,1259,2
55,586,1519,2
56,1124,351,2
57,1489,1009,2
58,984,827,3
59,237,1550,3
60,64,206,3
62,342,500,2
64,354,1009,2
65,628,149,3
66,1080,1281,3
67,421,1424,2
68,1091,573,4
69,1301,1034,2
70,1301,1034,2
71,977,871,2
72,1584,1562,3
73,1186,312,2
74,769,587,2
75,1421,105,2
76,1498,580,3
77,324,1145,3
78,806,1497,2
79,1387,933,2
80,1262,1658,3
81,1279,1606,3
82,1007,485,3
83,619,145,2
84,526,1453,3
85,342,500,2
86,958,1041,4
87,429,113,2
88,1511,409,2
89,59,995,2
90,1393,1383,3
91,209,293,2
92,924,1416,2
93,1418,896,3
94,1244,500,2
95,1282,25,2
96,769,587,2
97,1007,485,3
98,535,426,3
99,1250,1423,2
100,618,105,2
101,1255,587,2
102,242,1531,2
103,135,1618,3
104,1301,1034,2
105,1163,561,2
106,389,1259,2
107,342,500,2
108,984,827,3
109,1483,561,2
110,958,1041,4
112,523,593,2
113,342,500,2
114,225,593,2
115,746,1200,2
116,936,143,2
117,1483,561,2
118,924,1416,2
119,208,33,2
120,173,788,2
121,272,1687,3
